Bereshit 1:1:  When God began to create heaven and earth—

Bereshit 1:19:  And there was evening and there was morning, a fourth day.
   0  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   1  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   2  י֥וֹם                 day
   3  רְבִיעִֽי             fourth

Bereshit 1:20:  God said, “Let the waters bring forth swarms of living creatures, and birds that fly above the earth across the expanse of the sky.”
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֔ים             God
   2  יִשְׁרְצ֣וּ           teem
   3  הַמַּ֔יִם             the·waters
   4  שֶׁ֖רֶץ               swarming·things
   5  נֶ֣פֶשׁ               soul
   6  חַיָּ֑ה               living
   7  וְעוֹף֙               birds
   8  יְעוֹפֵ֣ף             shall fly
   9  עַל־הָאָ֔רֶץ          upon·the·earth
  10  עַל־פְּנֵ֖י           above·face
  11  רְקִ֥יעַ              firmament
  12  הַשָּׁמָֽיִם          the·heavens

Bereshit 1:21:  God created the great sea monsters, and all the living creatures of every kind that creep, which the waters brought forth in swarms, and all the winged birds of every kind. And God saw that this was good.
   0  וַיִּבְרָ֣א           and·created
   1  אֱלֹהִ֔ים             God
   2  אֶת־הַתַּנִּינִ֖ם     [identifies object]
   3  הַגְּדֹלִ֑ים          great
   4  וְאֵ֣ת                and·[object]
   5  כׇּל־נֶ֣פֶשׁ          all·soul
   6  הַֽחַיָּ֣ה            living
   7  הָֽרֹמֶ֡שֶׂת          creep
   8  אֲשֶׁר֩               which
   9  שָׁרְצ֨וּ             teem
  10  הַמַּ֜יִם             the·waters
  11  לְמִֽינֵהֶ֗ם          kind
  12  וְאֵ֨ת                and·[object]
  13  כׇּל־ע֤וֹף            all·birds
  14  כָּנָף֙               wing
  15  לְמִינֵ֔הוּ           kind
  16  וַיַּ֥רְא             and·saw
  17  אֱלֹהִ֖ים             God
  18  כִּי־טֽוֹב            because·good

Bereshit 1:22:  God blessed them, saying, “Be fertile and increase, fill the waters in the seas, and let the birds increase on the earth.”
   0  וַיְבָ֧רֶךְ           and·blessed
   1  אֹתָ֛ם                [object]·them
   2  אֱלֹהִ֖ים             God
   3  לֵאמֹ֑ר               saying
   4  פְּר֣וּ               be·fruitful
   5  וּרְב֗וּ              be·great
   6  וּמִלְא֤וּ            fill
   7  אֶת־הַמַּ֙יִם֙        [identifies object]
   8  בַּיַּמִּ֔ים          sea
   9  וְהָע֖וֹף             birds
  10  יִ֥רֶב                be·great
  11  בָּאָֽרֶץ             in·the·land

Bereshit 1:23:  And there was evening and there was morning, a fifth day.
   0  וַֽיְהִי־עֶ֥רֶב       and·was·evening
   1  וַֽיְהִי־בֹ֖קֶר       and·was·morning
   2  י֥וֹם                 day
   3  חֲמִישִֽׁי            ordinal number

Bereshit 1:24:  God said, “Let the earth bring forth every kind of living creature: cattle, creeping things, and wild beasts of every kind.” And it was so.
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֗ים             God
   2  תּוֹצֵ֨א              go out
   3  הָאָ֜רֶץ              the·earth
   4  נֶ֤פֶשׁ               soul
   5  חַיָּה֙               living
   6  לְמִינָ֔הּ            kind
   7  בְּהֵמָ֥ה             beast
   8  וָרֶ֛מֶשׂ             creeping things
   9  וְחַֽיְתוֹ־אֶ֖רֶץ     adj·land
  10  לְמִינָ֑הּ            kind
  11  וַֽיְהִי־כֵֽן         and·was·so

Bereshit 1:25:  God made wild beasts of every kind and cattle of every kind, and all kinds of creeping things of the earth. And God saw that this was good.
   0  וַיַּ֣עַשׂ            and·made
   1  אֱלֹהִים֩             God
   2  אֶת־חַיַּ֨ת           [identifies object]
   3  הָאָ֜רֶץ              the·earth
   4  לְמִינָ֗הּ            kind
   5  וְאֶת־הַבְּהֵמָה֙     [identifies object]
   6  לְמִינָ֔הּ            kind
   7  וְאֵ֛ת                and·[object]
   8  כׇּל־רֶ֥מֶשׂ          all·creeping
   9  הָֽאֲדָמָ֖ה           ground
  10  לְמִינֵ֑הוּ           kind
  11  וַיַּ֥רְא             and·saw
  12  אֱלֹהִ֖ים             God
  13  כִּי־טֽוֹב            because·good

Bereshit 1:26:  And God said, “Let us make humankind in our image, after our likeness. They shall rule the fish of the sea, the birds of the sky, the cattle, the whole earth, and all the creeping things that creep on earth.”
   0  וַיֹּ֣אמֶר            and·said
   1  אֱלֹהִ֔ים             God
   2  נַֽעֲשֶׂ֥ה            do
   3  אָדָ֛ם                man
   4  בְּצַלְמֵ֖נוּ         image
   5  כִּדְמוּתֵ֑נוּ        n f
   6  וְיִרְדּוּ֩           and·ruled
   7  בִדְגַ֨ת              fish
   8  הַיָּ֜ם               sea
   9  וּבְע֣וֹף             birds
  10  הַשָּׁמַ֗יִם          the·heavens
  11  וּבַבְּהֵמָה֙         beast
  12  וּבְכׇל־הָאָ֔רֶץ      all·earth
  13  וּבְכׇל־הָרֶ֖מֶשׂ     all·creep
  14  הָֽרֹמֵ֥שׂ            creep
  15  עַל־הָאָֽרֶץ          upon·the·earth

